"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"20",-0.186689205092876,-0.080068425259727,-0.0565673990798887,-0.0336848208692439,-0.0276784825368403,-0.0192005081736303,-0.0148351668457214,-0.0115481143722349,-0.00931445092774965,-0.00688444047101713,-0.00459264691741229,-0.003209488832025,0.000830963211295245,0.00383696395034901,0.00595572933613981,0.008120971086321,0.0135096435270334,0.0167047897268857,0.0191971195247757,0.0252401377947591,0.032380528527784,0.0333734276556858,0.0454737848924299
"21",-0.183646803116811,-0.0788738154224774,-0.0557248587240237,-0.0328098496086503,-0.0269370413042596,-0.0188958466636813,-0.0145099753450357,-0.0113561472185916,-0.00838491851724092,-0.00647573189745771,-0.00484882582000907,-0.00315075191568761,0.000313005769166417,0.00376355902310621,0.00588300707685983,0.0078836779191122,0.0133218824899238,0.0164304348787453,0.0189267870777403,0.0245243155867077,0.0319726822328662,0.0330304426370372,0.0450024566632689
"22",-0.180169913469575,-0.0775246415116214,-0.0547671424968089,-0.0320574344833427,-0.0259891353968579,-0.0184539472589633,-0.0142860931607498,-0.0111733000237725,-0.00779652688629015,-0.00576462918436369,-0.00443752285524698,-0.00307059816319928,0.000891554627174704,0.00377308453358472,0.00623681951895779,0.00777566342980734,0.0123970500336943,0.016064402609106,0.0186015520664899,0.0238898549600975,0.0315189046693296,0.0326452419433907,0.0444661157542888
"23",-0.178946499138771,-0.0760684634109261,-0.0544631837685807,-0.0318842467778585,-0.0275751317858553,-0.0195454106477999,-0.0145850388110115,-0.0111582362364274,-0.00893680768318468,-0.00657014149169536,-0.00468733346302173,-0.00303261406002142,0.000583923778895116,0.00372242227225139,0.00580271202733859,0.00776832974913466,0.0123836593113102,0.0159581961393811,0.0185800010997945,0.0237862448859562,0.0314826067486864,0.0326517092607887,0.0444861113891457
"24",-0.175646981196834,-0.0747903781757636,-0.0535540334250293,-0.0312986458368338,-0.0270836696878441,-0.0190627723807402,-0.0140166307742102,-0.0109172220747909,-0.008047780599869,-0.00561867336770049,-0.00430144234005719,-0.0029542354932259,0.000919474955599572,0.00367553727014118,0.00573393213224463,0.00767566302078488,0.0121704590208174,0.0155256978883261,0.0182093187302645,0.0232505828490669,0.0310717657882829,0.032308570895996,0.0440085217421585
"25",-0.172768585433403,-0.073683051009331,-0.0527713830755302,-0.0308679987076456,-0.0265176383140187,-0.0179941633343758,-0.0142107380898197,-0.0113919515439166,-0.00868781593219562,-0.00638039611805004,-0.00453229520082679,-0.002893847002068,0.000604199579147137,0.00356113226684249,0.00562623367919529,0.00759344852031819,0.0119709311729863,0.0149062162024937,0.0180030630712607,0.0225253481824805,0.030607987079143,0.0320205408613524,0.0435994251224128
"26",-0.169855489415132,-0.072596891181011,-0.0520281256402213,-0.030442867342375,-0.0257698074999522,-0.0176641674306918,-0.013958669848735,-0.0106443627123249,-0.00849106256427076,-0.00605165280103297,-0.00415671044449785,-0.00279819062609982,0.000972565856205885,0.00366298289997539,0.00567979721820451,0.0075979047068334,0.0118983733749287,0.0148118475818844,0.0178474860464518,0.022333162716693,0.030500319014251,0.0319744605124599,0.0434873473539846
"27",-0.179056589535854,-0.0730458435109858,-0.0544728467867187,-0.0343286907300339,-0.0284011215452151,-0.0197538198343403,-0.0147059689132308,-0.0124437169735848,-0.00900857518936881,-0.00664148006228947,-0.00477004871007746,-0.00306480349457323,0.000539335505685653,0.00358303479182554,0.0057028841757802,0.00769348187425326,0.0121272397522107,0.0151187573302105,0.0182046225858106,0.0227915770830371,0.0311386932488841,0.0324336682759864,0.044197338301872
"28",-0.175786863042686,-0.0717188191490976,-0.053567977531731,-0.0331969514452851,-0.0277121756861887,-0.0193278097513491,-0.0144857399755603,-0.0116564630604053,-0.00914344438425113,-0.00654369699528944,-0.00470531395793073,-0.00307976041852412,0.000166915553603471,0.00353824820202682,0.00561898881674082,0.00759066195462898,0.0119314813580235,0.014892190781126,0.0179206828396661,0.0224747308637105,0.0307036748528195,0.0320619473259822,0.0436931205314589
"29",-0.17257429210094,-0.0701170519037562,-0.0527171002894494,-0.0315124124919314,-0.0272087732455387,-0.0188347849076231,-0.0142651754891599,-0.011003650999255,-0.00872518282308325,-0.00641006639854729,-0.00457521666311577,-0.00291715160384721,-0.000419872355459984,0.00351448975027403,0.00555335250179587,0.00752383778840524,0.0117945246821922,0.0147242981187048,0.0177115568162384,0.0222254032017645,0.0304110626256714,0.0317609703501261,0.042476886397576
